Date,High,SPTAUUSDOZ.IDC,GC.CMX,AU.SHF,AU9999.SGE,USDCHF.FX,SPX.GI,IXIC.GI,000300.SH,N225.GI,FTSE.GI,GDAXI.GI,FCHI.GI,HSI.HI,USDX.FX,USDCNY.IB,EURUSD.FX,USDJPY.FX,GBPUSD.FX,USDCAD.FX,USDCNH.FX
2015/1/5,278.34,1207.8,1207.5,242.5,240.68,1.0293,2054.44,4702.77,3669.042,17540.92,6576.74,9790.27,4276.92,23998.87,91.83,6.2215,1.1976,120.64,1.5319,1.1841,6.2308
2015/1/6,287.55,1223.3,1223.3,245,242.6,1.0109,2030.25,4667.33,3683.226,17111.36,6452.66,9624.65,4151.41,23611,91.68,6.2215,1.1969,119.64,1.5275,1.1839,6.2336
2015/1/7,298.75,1219.2,1218.5,247.3,244.5,1.0175,2029.61,4652.72,3671.19,16974.61,6459.74,9592.37,4144.95,23715.71,92.268,6.2198,1.1896,119.65,1.5155,1.1873,6.2286
2015/1/8,294.14,1216.58,1216.8,246.2,243.6,1.0216,2064.08,4741.38,3659.945,17243.71,6580.82,9855.43,4270.11,23941.64,92.5347,6.2210,1.1847,119.96,1.5118,1.1844,6.2212
2015/1/9,291.11,1224,1224,246.15,243.63,1.0209,2064.43,4744.71,3689.753,17342.65,6570.24,9860.18,4272.83,24169.06,92.5042,6.2193,1.1845,119.87,1.5175,1.1889,6.2239
2015/1/12,272.2,1235.88,1236,248.7,246.09,1.019,2049.3,4715.81,3560.527,,6542.43,9815.96,4252.27,24118.59,92.34,6.2045,1.1871,119.32,1.5194,1.1973,6.2213
2015/1/13,268.28,1244.22,1244.5,250,247.65,1.0217,2056.93,4751.34,3550.158,17087.71,6558.83,9978.94,4310.58,24254.11,92.43,6.2052,1.186,118.85,1.5192,1.1993,6.208
2015/1/14,223.89,1244.4,1244.6,250.5,248.1,1.024,2018.4,4655.37,3547.242,17036.72,6542.2,9962.98,4302.22,24326.7,92.4186,6.1981,1.1845,117.96,1.5269,1.2017,6.205
2015/1/15,229.07,1266.78,1267.2,250.1,248,1.022,2021.35,4663.96,3604.121,17141.98,6498.78,10063.18,4338.73,24369,92.9208,6.1968,1.1792,117.94,1.5267,1.1995,6.1996
2015/1/16,221.59,1282.11,1282.4,253.75,252,0.8807,2020.46,4635.82,3662.158,16864.34,6553.2,10207.97,4387.22,24253.09,93.27,6.2138,1.165,117.76,1.5235,1.2046,6.2186
2015/1/19,216.73,1281.6,,259,256.1,0.8798,,,3497.252,17039.8,6598.89,10293.04,4423.25,24049.55,92.73,6.2249,1.1639,117.78,1.5179,1.1985,6.2386
2015/1/20,215.24,1297.14,1297.2,258.3,256.75,0.8836,2028.94,4665.65,3419.204,17366.3,6640.44,10298.42,4463.51,23997.31,93.1,6.2194,1.1615,118.86,1.5199,1.2114,6.2281
2015/1/21,227.79,1305.34,1307,263,261.3,0.8772,2038.29,4692.46,3557.794,17329.03,6728.04,10311.9,4484.82,24373.28,93.1,6.2199,1.168,118.83,1.5179,1.2394,6.226
2015/1/22,237.02,1307.59,1307.8,263.2,261.19,0.8749,2064.62,4752.6,3576.756,17355.74,6808.18,10454.05,4569.55,24589.62,94.4996,6.2120,1.1644,118.67,1.5212,1.2419,6.224
2015/1/23,234.85,1302.65,1299.8,262.85,260.8,0.8818,2062.98,4771.18,3627.806,17532.06,6841.73,10704.32,4673.3,24896.22,95.4847,6.2297,1.1374,118.81,1.5036,1.2455,
2015/1/26,309.38,1299.21,1295.1,262.55,260.87,0.9043,2057.62,4774.18,3611.617,17471.94,6855.92,10807.57,4678.83,24916.49,95.5383,6.2569,1.1295,118.5,1.5103,1.2489,6.2555
2015/1/27,275.48,1297.57,1298.6,260.6,260,0.9162,2047.86,4721.88,3616.258,17768.41,6864.97,10810.57,4679.26,24995.08,95.0137,6.2535,1.1422,118.66,1.5223,1.25,6.2702
2015/1/28,266.54,1293.87,1294,261.95,260,0.909,2042.49,4742.06,3583.312,17850.59,6863,10728.83,4660.88,24983.89,94.6903,6.2488,1.1383,118.26,1.5219,1.2537,6.2558
2015/1/29,238.71,1285.95,1285.8,261.75,260.78,0.9252,2024.64,4688.41,3505.582,17778.83,6825.94,10743.57,4632.38,24739.22,95.0142,6.2542,1.1368,118.49,1.5163,1.2677,6.2636
2015/1/30,242.85,1284.8,1285.4,257.7,257,0.9289,2023.32,4703.82,3514.217,17808.47,6843.98,10804.04,4660.71,24771.37,94.9232,6.2526,1.1364,118.46,1.5096,1.2798,6.2651
2015/2/2,242.18,1283.7,1283.9,260,258.2,0.9345,2021.66,4676.69,3407.256,17628.4,6795.52,10828.01,4646.55,24506.81,94.88,6.2606,1.1362,117.87,1.5087,1.2773,6.2878
2015/2/3,245.96,1285.8,1286,259.6,265,0.9296,2050.3,4727.74,3441.709,17654.6,6886.31,10984.69,4701.52,24602.6,94.7,6.2585,1.1534,117.74,1.5198,1.2644,6.2758
2015/2/4,230.06,1272.46,1273.3,258.2,259.49,0.9279,2054.74,4744.33,3476.817,17743.11,6883.49,10912.24,4696.3,24824.58,94.53,6.2506,1.1485,118,1.5251,1.2592,6.2644
2015/2/5,239.4,1274.16,1274.6,258.3,256.7,0.9311,2063.55,4767.38,3487.951,17619.34,6870.1,10926.73,4705.1,25048.26,94.61,6.2560,1.1499,117.6,1.5343,1.2587,6.2658
2015/2/6,230.51,1268.78,1269,256.85,255.9,0.9289,2072.4,4787.19,3374.051,17700.67,6886.22,10877.67,4707.24,24843.2,94.76,6.2450,1.1485,119.22,1.5352,1.2546,6.2538
2015/2/9,223.98,1243.7,1243.6,260.25,255.49,0.9286,2056.16,4749.47,3376.526,17799.49,6853.44,10767.22,4659.26,24657.87,94.8881,6.2505,1.1359,119.09,1.5267,1.2541,6.2555
2015/2/10,221.81,1245.91,1245.9,252.4,250.61,0.9278,2070.86,4793.27,3407.18,17673.27,6843.9,10797.46,4716.49,24583.79,94.8824,6.2475,1.1345,119.61,1.5276,1.2624,6.2584
2015/2/11,223.41,1238.9,1238.7,251.45,249.5,0.9301,2073.48,4810.36,3445.655,,6838.33,10791.59,4694.44,24551.74,95.1171,6.2450,1.1347,120.48,1.53,1.2697,6.2574
2015/2/12,222.2,1232.95,1232.8,250.85,249,0.9336,2088.53,4857.61,3453.582,18005.45,6854.62,10955.45,4746.75,24514.49,94.9857,6.2484,1.1423,120.47,1.5415,1.2645,6.2525
2015/2/13,240.26,1235,1234.9,249.65,247.76,0.9335,2097.03,4893.84,3509.505,17962.11,6887.57,11013.85,4779.54,24702.54,94.3147,6.2448,1.1443,119.2,1.5422,1.2536,6.2471
2015/2/16,239.52,1236.79,,250.75,248.6,0.9326,,,3504.475,18074.26,6878.66,10963.49,4766.47,24771.6,94.5374,6.2496,1.1429,118.78,1.544,1.249,6.2726
2015/2/17,245.77,1234,1236.7,250.75,249.4,0.9374,2101.3,4901.89,3536.82,18009.45,6898.13,10921.26,4766.67,24855.75,94.5114,6.2552,1.1449,119.41,1.5402,1.2478,6.2859
2015/2/25,239.34,1211.85,1211.7,246.55,247.2,0.951,2119.59,4984.24,3529.55,18648.77,6955.41,11225.6,4894.6,24869.37,94.51,6.2605,1.1352,119,1.5479,1.2497,6.2753
2015/2/26,237.71,1220,1219.9,246.75,244.8,0.9546,2113.91,4989.11,3569.33,18790.83,6949.98,11330.63,4910.62,24998.64,95.362,6.2604,1.138,119.5,1.5552,1.2535,6.2807
2015/2/27,256.65,1219.33,1219.2,248.15,246.47,0.9546,2112.74,4989.25,3594.813,18865.39,6967.24,11401.66,4951.48,25101.96,95.37,6.2699,1.1245,119.8,1.5459,1.253,6.2937
2015/3/2,276.3,1223.3,1223,249.75,247.49,0.9598,2117.52,5008.57,3608.691,18939.17,6974.26,11455.08,4950.59,24997.83,95.52,6.2740,1.124,120.19,1.5433,1.2565,6.3022
