Date,Low,SPTAUUSDOZ.IDC,GC.CMX,AU.SHF,AU9999.SGE,USDCHF.FX,SPX.GI,IXIC.GI,000300.SH,N225.GI,FTSE.GI,GDAXI.GI,FCHI.GI,HSI.HI,USDX.FX,USDCNY.IB,EURUSD.FX,USDJPY.FX,GBPUSD.FX,USDCAD.FX,USDCNH.FX
2015/1/5,265.08,1177.99,1186.5,240,238.8,1.0031,2017.34,4641.46,3551.51,17219.22,6404.49,9468.58,4105.45,23655.52,91.24,6.2062,1.1866,119.36,1.5173,1.1742,6.2168
2015/1/6,272.7,1201.91,1205.2,240.35,239,1.0039,1992.44,4567.6,3587.231,16881.73,6328.59,9382.82,4076.16,23312.5,91.2,6.2062,1.1883,118.04,1.514,1.1729,6.2168
2015/1/7,283.08,1209.22,1209.1,243.8,241.8,1.0093,2005.55,4613.91,3601.698,16808.26,6366.51,9459.18,4080.78,23332.03,91.6128,6.2063,1.1801,118.38,1.5053,1.1811,6.207
2015/1/8,282.17,1204.73,1204.2,244.3,242.3,1.0134,2030.61,4688.02,3552.1,17016.09,6419.83,9607.9,4163.63,23719.05,91.9344,6.2104,1.1753,119.15,1.5033,1.1795,6.209
2015/1/9,280.53,1207.5,1207,244.55,241.9,1.0137,2038.33,4681.24,3536.395,17129.53,6471.38,9601.75,4149.14,23859.49,91.8968,6.2044,1.1762,118.41,1.5075,1.1804,6.2143
2015/1/12,265.2,1217.74,1217.5,243.95,242.7,1.0116,2022.58,4650.66,3461.322,,6447.91,9622.32,4165.15,23905.01,91.71,6.1941,1.1785,118.09,1.5096,1.1833,6.2037
2015/1/13,219.91,1227.44,1227.4,246,244.2,1.0124,2008.25,4624.28,3494.768,16828.27,6465.19,9755.02,4197.81,23908.23,91.81,6.198,1.1753,117.53,1.5077,1.1924,6.1958
2015/1/14,171.51,1225.21,1225.4,246.3,244.9,1.0137,1988.44,4595.98,3471.56,16770.56,6353.65,9768.1,4207.37,24056.22,91.6132,6.1934,1.1726,116.06,1.5144,1.1927,6.1944
2015/1/15,176.9,1226.27,1226.1,246.35,244.95,0.7407,1991.47,4567.39,3482.27,16856.22,6298.15,9637.33,4119.35,24070.39,91.3028,6.1878,1.1567,116.14,1.5149,1.1801,6.1928
2015/1/16,199.77,1255.2,1255.2,251,248.1,0.8381,1988.12,4563.11,3601.258,16592.57,6443.28,9940.64,4294.76,24086.21,92.06,6.1925,1.1459,115.84,1.5076,1.1948,6.1877
2015/1/19,207.32,1272.3,,253.5,252,0.8538,,,3330.981,16911.58,6548,10191.98,4367.24,23590.05,92.33,6.2134,1.155,116.92,1.5105,1.1932,6.2213
