Date,Bitcoin,ISG,IFG,DFG,DSG,UFE,SP500,NASDAQ,SH300,N225,FTSE,GDAXI,FCHI,HSI,USDX,UYE,EUE,UJE,GUE,UDE,CNH
2017/3/1,3.711568883,2.580305708,2.572604618,2.603753763,2.496731045,2.170041712,2.303759654,2.193520861,2.057103564,2.699554479,2.931130069,2.729837281,2.83442989,1.81450441,2.146843123,0.50221191,2.0856787,2.588584637,2.453198617,1.852650851,1.372649185
2017/3/2,3.763506026,2.917575018,2.902687346,2.224418868,2.305183621,1.982693014,1.947348719,2.073414963,2.439290189,1.798326772,1.226513802,1.353827907,1.396170002,2.921822604,1.843861163,0.53095317,1.844712102,2.213949055,1.773537906,1.927464851,1.272974201
2017/3/3,3.290269675,2.584114037,2.548438887,2.272210621,2.450929677,1.983682042,1.411042934,1.747346135,1.683819325,2.441222568,1.498373635,1.790903584,2.514953775,1.795181527,2.266250548,1.003931725,2.600765976,2.24515886,2.097699246,2.148815673,1.876809084
2017/3/6,2.332291897,2.461756975,2.439583812,2.137613523,1.900810075,1.885736253,1.655003616,1.783238687,2.044328008,1.439668153,1.706778351,2.003520287,1.752029524,1.735503281,1.797379224,0.641003088,1.950754024,1.757481176,1.975187806,1.531804882,0.908497266
2017/3/7,4.182096267,2.560621011,2.526233427,2.00945288,1.894923511,1.995876931,1.537707659,1.882727376,1.538121652,1.235705664,1.492144111,1.636612313,2.049361819,1.931719208,1.47666428,0.358078892,1.563056058,1.454321317,2.066408481,1.530909624,0.901480453
2017/3/8,4.396055665,2.490268637,2.43849557,1.83346801,2.213525284,1.25547422,1.767833832,1.704265918,1.658391129,2.028820807,1.798758636,2.209104828,2.281630608,2.50663987,1.681537982,0.906888685,1.494851196,2.438940621,1.969112583,2.183416052,1.544669467
2017/3/9,4.011124326,2.285516426,2.244857498,2.175772537,2.465104245,2.085453147,1.95540328,2.074829617,2.250939317,1.645913798,2.43558278,2.327505356,2.422581039,2.360467902,1.812654579,1.117089488,2.290723504,1.925440922,1.750196806,1.485813747,1.84212437
2017/3/10,5.243721376,2.458510974,2.414908502,2.48564497,2.631347922,1.918846305,1.901175718,1.986032591,1.415093844,2.443853807,2.205181626,2.522398889,1.991438336,2.085421859,2.297413275,0.638033555,2.625722783,2.149234428,1.55138636,2.080833016,1.627535603
2017/3/13,2.945802055,2.17588541,2.136298572,2.503863308,2.833166587,-0.78573855,1.049367774,1.177621874,2.719542716,1.99077888,1.708334936,1.697595579,1.825152781,2.706979119,-1.037411219,0.844012957,-1.129445119,-0.431423541,-0.419197937,-0.668997255,-0.917634866
2017/3/14,3.11049395,2.342499761,2.314632192,1.332131673,2.756246894,1.540003087,1.616757099,1.726242528,1.700121915,0.797190259,1.989516551,1.937603309,2.385765741,1.975595443,1.648573541,0.455299789,1.917241284,1.916350179,2.375485513,1.580698309,0.894041261
2017/3/15,2.391422306,3.163374334,3.174680732,1.9390952,1.536845465,2.650845571,2.31890181,2.336625676,1.824149173,1.519340643,1.388881127,1.55944601,1.679268959,2.255319485,2.672355055,-0.072755517,2.697569054,2.851561882,2.72800242,2.800854588,2.340118772
2017/3/16,4.611000697,2.701329825,2.700460428,3.171413229,3.082701745,2.056352527,1.660313528,1.551086621,1.878835613,2.270496218,2.466028296,2.348461047,1.818860245,2.604655835,1.790810587,0.901668961,1.968785372,1.877778875,2.54025928,1.879769759,1.877533941
2017/3/17,4.396806444,1.99454801,1.947647828,1.979928926,1.811468446,1.667489142,1.358275341,1.462358741,2.745984309,1.25409096,1.925437619,2.248829563,2.120790856,1.943093082,1.34643658,1.107898152,1.80556128,2.250846003,2.041858949,1.864536193,1.419889413
2017/3/20,3.360793638,1.849058802,1.831274303,1.888965169,1.881222502,1.42146324,1.564619407,1.658536644,2.089797716,1.811370046,1.651970106,1.541464474,1.782408071,2.187015266,1.608940394,-0.002706143,1.751912299,1.511470749,2.236524548,1.781379068,1.458897358
2017/3/21,4.25881464,2.981677954,2.974411858,2.161080918,1.861817352,2.233551543,2.968105303,3.292311135,1.94518936,2.168752161,2.520626115,2.803219048,2.687048957,1.987833454,2.239684104,1.251361599,2.376334705,2.602951356,2.655743309,2.154208591,1.530413053
2017/3/22,4.741081982,1.960632995,1.957886645,2.462064969,2.431198127,2.033534596,2.017780898,2.160429888,2.328470094,2.242574068,2.482784837,2.093805843,2.474029117,2.102849235,1.48445523,0.742204265,1.650154507,2.396770363,2.021642838,2.045099023,1.144356336
2017/3/23,3.465488605,2.342353272,2.293534037,1.674865102,1.181600289,1.308302644,2.104073939,1.954850835,2.45753545,2.069358444,1.803488443,2.645883907,2.485671882,2.220025573,1.027910704,0.382736329,1.37045576,2.299606113,1.846505344,1.308546289,0.736540685
2017/3/24,4.816029631,2.381867219,2.34011105,2.223345223,1.935274433,2.105602618,2.304676849,2.308508827,2.533862443,2.645484376,1.503254696,1.930530994,1.687086933,2.005786573,1.705305972,0.667319561,1.819843246,2.184791714,1.619811118,1.282881196,1.031179964
2017/3/27,4.438955045,2.661433741,2.743460356,2.661882421,2.550735992,2.280768836,2.4106912,2.758130241,2.336621257,2.235126083,2.545510694,2.042198396,2.375696797,2.63876745,2.048887507,0.898484974,2.134317427,2.27807158,2.444175885,1.96431647,1.784040718
2017/3/28,3.701627135,2.309452249,2.298801731,1.741489333,1.58272266,2.501027979,2.547069144,2.46166656,1.929361851,1.687207628,2.303232307,2.376809345,2.197610727,1.395021997,2.060175802,0.372215272,2.072496963,2.36371422,2.66054638,1.654703198,1.446428584
2017/3/29,3.773106883,1.926313392,1.926691866,2.14891172,2.008802474,2.015195565,1.623776174,1.764562799,2.208314596,1.644940642,2.235412724,1.604863052,1.877515932,1.884673332,1.742410392,-0.105906796,2.225821278,1.833513049,2.213218774,1.927464851,1.442185168
2017/3/30,3.4797934,2.372554109,2.424108738,1.503883321,1.041096087,2.056653025,1.748844059,1.487943628,2.706366756,2.349130952,1.938137184,1.695047709,1.840040846,2.142726078,2.064652923,0.167651223,2.370897925,2.347066965,2.410918951,1.879769759,1.031238134
2017/3/31,3.96558554,2.329314204,2.341873542,2.178956024,2.261185159,1.444909791,1.324217154,1.620104362,2.13952871,2.899649733,1.985984455,2.05091585,2.512792951,2.365170189,1.538043788,1.177869921,1.701707393,2.278397193,2.44880671,1.990825036,1.194974365
2017/4/5,3.086932035,2.58882124,2.544802243,1.406437302,2.474820287,2.035496477,2.603869105,2.747261354,2.268704675,2.324961471,1.852234804,2.026141527,2.093858516,2.406831016,1.624663316,0.717242939,1.778527413,2.258261817,1.946057597,1.685023507,0.876447638
2017/4/6,4.128386465,2.20517192,2.171681207,2.3255821,1.971671038,1.568222388,2.005973246,1.87493664,1.976700431,2.790226231,2.448995945,2.453992223,2.830047297,2.088923353,1.498967302,0.414946222,1.779090294,2.164417443,1.602943437,1.529791678,0.659207565
2017/4/7,3.120423155,2.948124461,2.944325836,3.019913151,2.957491299,2.048471733,1.846918417,1.966382817,1.897265701,2.804117064,2.3165576,2.020747329,2.122541364,2.610628459,2.153113589,0.771759045,2.217512986,2.55352662,2.345890797,2.043379576,0.867584121
2017/4/10,2.393254094,2.302151459,2.28219521,2.760872379,2.780801904,1.352642457,1.979063749,2.109783457,1.912373834,1.682183437,1.245372297,1.866381373,1.900755451,1.545218447,1.514785207,0.391520581,1.41569643,2.066541768,1.763566962,2.208056729,1.556200331
