Date,Open,High,Low,Close,Volume,Market Cap
2015/1/5,265.08 ,278.34 ,265.08 ,274.47 ,43962800.00 ,3758098008.00 
2015/1/6,274.61 ,287.55 ,272.70 ,286.19 ,23245700.00 ,3919623080.00 
2015/1/7,286.08 ,298.75 ,283.08 ,294.34 ,24866800.00 ,4032255015.00 
2015/1/8,294.14 ,294.14 ,282.17 ,283.35 ,19982500.00 ,3882766766.00 
2015/1/9,282.38 ,291.11 ,280.53 ,290.41 ,18718600.00 ,3980426431.00 
2015/1/12,266.15 ,272.20 ,265.20 ,267.80 ,18880300.00 ,3673551884.00 
2015/1/13,267.39 ,268.28 ,219.91 ,225.86 ,72843904.00 ,3099004902.00 
2015/1/14,223.89 ,223.89 ,171.51 ,178.10 ,97638704.00 ,2444379076.00 
2015/1/15,176.90 ,229.07 ,176.90 ,209.84 ,81773504.00 ,2880801385.00 
2015/1/16,209.07 ,221.59 ,199.77 ,208.10 ,38421000.00 ,2857541182.00 
2015/1/19,211.47 ,216.73 ,207.32 ,214.86 ,18658300.00 ,2952759522.00 
2015/1/20,212.91 ,215.24 ,205.15 ,211.32 ,24051100.00 ,2904651464.00 
2015/1/21,211.38 ,227.79 ,211.21 ,226.90 ,29924600.00 ,3119680595.00 
2015/1/22,227.32 ,237.02 ,226.43 ,233.41 ,33544600.00 ,3209962696.00 
2015/1/23,233.52 ,234.85 ,225.20 ,232.88 ,24621700.00 ,3203436948.00 
2015/1/26,254.08 ,309.38 ,254.08 ,273.47 ,106794000.00 ,3764417376.00 
2015/1/27,273.17 ,275.48 ,250.65 ,263.48 ,44399000.00 ,3627760928.00 
2015/1/28,263.35 ,266.54 ,227.05 ,233.91 ,44352200.00 ,3221728839.00 
2015/1/29,233.35 ,238.71 ,220.71 ,233.51 ,32213400.00 ,3217149466.00 
2015/1/30,232.77 ,242.85 ,225.84 ,226.43 ,26605200.00 ,3120272355.00 
2015/2/2,226.49 ,242.18 ,222.66 ,238.23 ,30612100.00 ,3285797305.00 
2015/2/3,237.45 ,245.96 ,224.48 ,227.27 ,40783700.00 ,3135343874.00 
2015/2/4,227.51 ,230.06 ,221.11 ,226.85 ,26594300.00 ,3130520358.00 
2015/2/5,227.66 ,239.40 ,214.73 ,217.11 ,22516400.00 ,2996945966.00 
2015/2/6,216.92 ,230.51 ,216.23 ,222.27 ,24435300.00 ,3069076711.00 
2015/2/9,223.39 ,223.98 ,217.02 ,220.11 ,27791300.00 ,3041799140.00 
2015/2/10,220.28 ,221.81 ,215.33 ,219.84 ,21115100.00 ,3038850985.00 
2015/2/11,219.73 ,223.41 ,218.07 ,219.18 ,17201900.00 ,3030676475.00 
2015/2/12,219.21 ,222.20 ,217.61 ,221.76 ,15206200.00 ,3066996120.00 
2015/2/13,221.97 ,240.26 ,221.26 ,235.43 ,42744400.00 ,3256814719.00 
2015/2/16,234.82 ,239.52 ,229.02 ,233.84 ,28153700.00 ,3237573873.00 
2015/2/17,233.42 ,245.77 ,232.31 ,243.61 ,27363100.00 ,3373706168.00 
2015/2/25,238.89 ,239.34 ,235.53 ,237.47 ,11496200.00 ,3295875814.00 
2015/2/26,237.34 ,237.71 ,234.26 ,236.43 ,13619400.00 ,3282272605.00 
2015/2/27,236.44 ,256.65 ,236.44 ,253.83 ,44013900.00 ,3524820596.00 
2015/3/2,260.36 ,276.30 ,258.31 ,275.67 ,40465700.00 ,3831178959.00 
2015/3/3,275.05 ,285.80 ,268.16 ,281.70 ,50461300.00 ,3916108523.00 
2015/3/4,281.99 ,284.23 ,268.13 ,273.09 ,41383000.00 ,3797385224.00 
2015/3/5,272.74 ,281.67 ,264.77 ,276.18 ,41302400.00 ,3841201000.00 
2015/3/6,275.60 ,277.61 ,270.02 ,272.72 ,28918900.00 ,3794156466.00 
2015/3/9,274.81 ,292.70 ,273.89 ,289.61 ,59178200.00 ,4032241702.00 
2015/3/10,289.86 ,300.04 ,289.74 ,291.76 ,67770800.00 ,4063305050.00 
2015/3/11,291.52 ,297.39 ,290.51 ,296.38 ,33963900.00 ,4128796573.00 
2015/3/12,296.13 ,297.09 ,292.41 ,294.35 ,32585200.00 ,4101535995.00 
2015/3/13,294.12 ,294.50 ,285.34 ,285.34 ,31421500.00 ,3976948638.00 
2015/3/16,285.68 ,294.11 ,285.68 ,290.59 ,21516100.00 ,4053198429.00 
2015/3/17,290.60 ,292.36 ,284.37 ,285.51 ,21497200.00 ,3983144494.00 
