Date,Bitcoin,UFE
2017/5/15,6.287344928,6.622491439
2017/5/16,6.161977534,6.761095155
2017/5/17,6.070685758,7.240892838
2017/5/18,6.527330937,8.921727974
2017/5/19,6.530220692,9.010183839
2017/5/22,7.182419557,9.798698866
2017/5/23,7.333879517,10.4037385
2017/5/24,7.687207894,10.8208012
2017/5/25,5.524256712,6.334696753
2017/5/26,4.003869364,5.634246262
2017/5/31,6.64319189,6.286948484
2017/6/1,7.027658685,3.773512585
2017/6/2,7.343617574,3.904740341
2017/6/5,7.36885556,2.496342098
2017/6/6,6.987587613,2.189745743
2017/6/7,5.955521023,1.25117185
2017/6/8,6.836196229,0.539446623
2017/6/9,6.537983459,0.68612726
2017/6/12,6.240805165,0.676646958
2017/6/13,5.83305554,0.107505213
2017/6/14,3.584016317,0.952842152
2017/6/15,4.194193633,1.109328578
2017/6/16,4.210728092,1.369214095
2017/6/19,2.920374603,1.377720706
2017/6/20,2.927801196,1.695951369
2017/6/21,2.881784646,1.396379873
2017/6/22,1.695526274,1.329783884
2017/6/23,1.543021971,1.791900047
2017/6/26,2.079437881,2.173966043
2017/6/27,2.033840504,1.603940891
2017/6/28,2.143178522,1.29015987
2017/6/29,1.892866104,0.649115768
2017/6/30,3.197371597,1.104316307
2017/7/3,2.010121003,1.122790649
2017/7/4,2.055632196,1.152081034
2017/7/5,1.876947216,1.095976411
2017/7/6,2.68574929,1.166724781
2017/7/7,2.102498629,1.256885681
2017/7/10,1.919747065,1.489428434
2017/7/11,1.069151445,1.249648671
2017/7/12,1.300608881,1.202445962
2017/7/13,1.228302216,1.243547414
2017/7/14,1.110240178,1.033412287
2017/7/17,1.373179234,1.017983091
2017/7/18,1.498580972,1.262119032
2017/7/19,2.499544709,1.33055569
2017/7/20,2.004217931,1.403617884
2017/7/21,2.886947314,2.022202017
2017/7/24,3.145109968,1.869538954
2017/7/25,3.528048952,2.309373186
2017/7/26,3.462883507,2.370463373
2017/7/27,4.059324346,2.495330446
2017/7/28,3.183690793,1.656867195
2017/7/31,3.193067568,1.837756561
2017/8/1,3.337485781,1.827376344
2017/8/2,3.134160062,1.552920528
2017/8/3,3.131243763,1.478964645
2017/8/4,3.451752066,1.60318454
2017/8/7,3.92046164,2.418079255
2017/8/8,4.056766491,2.974352188
2017/8/9,3.649318476,3.133781756
2017/8/10,2.929002372,2.848104528
2017/8/11,3.175907737,2.749160312
2017/8/14,3.196947956,2.779692003
2017/8/15,4.103991789,3.646609505
2017/8/16,3.895379629,3.725979281
2017/8/17,4.575575921,3.925642435
2017/8/18,4.638233134,3.71221649
2017/8/21,6.864635126,6.563972256
2017/8/22,7.102352703,5.395158262
2017/8/23,6.59842208,5.681464824
2017/8/24,6.862460841,5.926698538
2017/8/25,8.798456791,6.370010546
2017/8/28,7.976866547,5.438013493
2017/8/29,8.153060378,5.510350731
2017/8/30,7.623703238,5.063956419
2017/8/31,6.104224063,3.14550323
2017/9/1,4.592933508,2.656098181
2017/9/4,3.909049031,2.643415642
2017/9/5,3.457542307,2.476373018
2017/9/6,3.558103491,2.445543874
