,SP500,NASDAQ,SH300,N225,FTSE,GDAXI,FCHI,HSI
Mean,2.11,2.36,2.64,2.22,2.29,2.38,2.29,2.45
Median,2.04,2.28,2.62,2.17,2.3,2.38,2.27,2.43
Maximum,4.06,4.12,3.89,4.15,3.74,3.67,3.52,3.78
Minimum,0.51,0.92,1.39,0.8,1.02,0.83,1.11,1.35
Std.Deviation,0.65,0.61,0.49,0.49,0.45,0.48,0.46,0.43
Skewness,0.45,0.36,0.12,0.36,0.06,0.04,0.17,0.13
Kurtosis,2.95,2.87,2.67,3.29,2.97,2.79,2.64,2.63
ADF,-11.125***,-12.317***,-15.484***,-14.953***,-16.764***,-17.899***,-16.734***,-17.309***
PP,-11.492,-13.025***,-17.104***,-16.028***,-18.256***,-19.711***,-18.073***,-19.003***
KPSS,1.39***,1.37***,2.38***,-2.01***,0.672***,1.04***,0.305***,2.42***
J-B,21.15***,14.26***,4.36,15.74***,0.34,1.31,6.358**,5.295*
B-G,64.793***,55.655***,64.096***,30.054***,28.700***,42.366***,24.758***,35.455***
ARCH-LM,0.35,0.16,0.54,0.11,1.32,0.05,0.06,0.6
