,USDX,UYE,EUE,UJE,GUE,UDE,UFE,CNH
Mean,1.73,1.12,1.88,1.89,2.07,1.87,1.87,1.41
Median,1.76,1.11,1.95,1.95,2.08,1.89,1.9,1.4
Maximum,3.07,2.68,3.34,3.77,3.57,3.15,3.08,3.06
Minimum,-1.49,-0.44,-2.31,-2.94,-1.75,-1.75,-2.16,-0.92
Std.Deviation,0.46,0.58,0.56,0.57,0.52,0.53,0.53,0.55
Skewness,-1.86,-0.06,-3.03,-2.75,-2.42,-2.28,-2.53,0.01
Kurtosis,13.92,2.73,21.25,21,18.03,15.29,18.03,3.17
ADF,-22.709***,-12.578***,-20.718***,-19.426***,-20.764***,-22.115***,-18.606***,-14.484***
PP,-23.286***,-13.055***,-21.761***,20.477***,-21.600***,-22.820***,-19.341***,-15.321***
KPSS,0.602***,3.22***,0.617***,0.141*,0.224***,0.564***,0.308***,1.98***
J-B,3509***,2.29,9750***,9345***,6581***,4529***,6635***,0.79
B-G,1.88,11.930***,23.151***,22.526***,23.375***,16.047***,5.690**,8.310***
ARCH-LM,0.02,0.51,10.110***,69.678***,22.904***,11.429***,42.438***,0.25
