,Bitcoin,SIG,FIG,FDG,SDG
Mean,3.94,2.39,2.41,1.96,2.13
Median,3.99,2.38,2.39,1.9,2.07
Maximum,5.86,3.74,3.77,3.75,4.37
Minimum,1.77,-2,1.36,0.85,0.8
Std.Deviation,0.75,0.47,0.4,0.52,0.56
Skewness,-0.17,-1.67,0.3,0.74,0.82
Kurtosis,2.72,17.08,2.96,3.73,4.37
ADF,-13.174***,-21.992***,-21.977***,-15.461***,-17.098***
PP,-14.072***,-22.835***,-22.884***,-16.744***,-18.401***
KPSS,1.62***,0.79***,0.817***,3.64***,3.06***
J-B,5.084*,5524***,9.849***,71.91***,120.1***
B-G,52.318***,9.152***,0.99,14.999***,23.611***
ARCH-LM,8.473***,0,0.28,0.17,0.92
